"category","company","year","fraud","ac_recv","ac_recv_to_Sales","ta","tl","az_score","debt_equity","fixedAsset_ta","gross_margin","roe","inv_to_sales","sales","ppe_ta","sales_ta","int_earned","total_accruals_ta","td_ta"
"plastics","MI51",15,"no",10.07,0.163341443633414,52.06,5.64,7.84365521370595,-0.862973760932945,0.101229350749136,0.387510137875101,0.265792031098154,0.151662611516626,61.65,0.101229350749136,1.18421052631579,183.333333333333,0.0641567422205148,-0.682289665770265
"plastics","MI51",14,"no",10.61,0.194464809384164,45.74,6.66,6.4117571782539,-0.804347826086957,0.110188019239178,0.37133431085044,0.149236192714454,0.204178885630499,54.56,0.110188019239178,1.19282903366856,143.285714285714,0.10013117621338,-0.59860078705728
"plastics","MI51",13,"no",9.37,0.207668439716312,40.89,7.39,5.44345671197453,-0.74482044198895,0.111274150158963,0.387854609929078,0.155041436464088,0.229166666666667,45.12,0.111274150158963,1.10344827586207,96.4444444444444,0.171680117388114,-0.527512839325018
"plastics","MI51",12,"no",6.86,0.173319858514401,38.4,9.53,4.03960391690713,-0.610543522680834,0.114322916666667,0.325922182920667,0.0899060073559461,0.206164729661445,39.58,0.114322916666667,1.03072916666667,51,0.0302083333333333,-0.3890625
"plastics","MI51",11,"no",6,0.159277940005309,34.6,8.13,4.32433231981742,-0.634934889986529,0.121098265895954,0.417042739580568,0.130669061517737,0.170427395805681,37.67,0.121098265895954,1.08872832369942,59.7,0.0210982658959537,-0.408670520231214
"textilesspinningcottonblended","MI52",15,"no",18.84,0.348437211022748,177.97,97.66,0.834405833930389,1.07258064516129,0.186435916165646,1,-0.0528438030560272,0.258553726650638,54.07,0.186435916165646,0.303815249761196,-1.74311926605505,0.00117997415294713,0.283980446142608
"textilesspinningcottonblended","MI52",14,"no",28.99,0.200234839066169,159.17,91.1,1.96204503934964,0.810413354531001,0.111515989193944,1,0.0806836248012718,0.095731454620804,144.78,0.111515989193944,0.909593516366149,2.54794520547945,-0.316768235220205,0.256204058553748
"textilesspinningcottonblended","MI52",13,"no",39.63,0.0898945219462402,181.54,110.14,3.55794446441407,1.27327141382869,0.126308251624986,1,0.101960784313726,0.0641488034478848,440.85,0.126308251624986,2.42839043736917,4.52895752895753,0.00413132092100914,0.339814916822739
"textilesspinningcottonblended","MI52",12,"no",43.78,0.149639402536145,184.76,115.45,2.51776861992068,1.52625820568928,0.127787399870102,1,0.00678336980306346,0.112007382848549,292.57,0.127787399870102,1.58351374756441,2.33802816901408,0.187053474778091,0.37751677852349
"textilesspinningcottonblended","MI52",11,"no",32.14,0.241418162698115,167.45,98.25,2.0784687952881,1.08112687989833,0.131263063601075,1,0.0843041728447363,0.178472170059341,133.13,0.131263063601075,0.79504329650642,2.52362204724409,-0.19008659301284,0.304807405195581
"textilesreadymadeapparels","MI53",15,"no",75.62,0.29176633999537,323,155.15,1.91615242161535,0.615977502343506,0.211857585139319,0.456208040743885,0.0728049161545672,0.35627749054711,259.18,0.211857585139319,0.802414860681115,2.17942583732057,-0.00439628482972136,0.183095975232198
"textilesreadymadeapparels","MI53",14,"no",56.47,0.220499804763764,315.64,141.08,1.97447921284102,0.372907746204749,0.227410974527943,0.399492385786802,0.0518684312962242,0.390823896915267,256.1,0.227410974527943,0.811367380560132,1.8496062992126,-0.0847167659358763,0.12140413128881
"textilesreadymadeapparels","MI53",13,"no",56.68,0.228714389476233,322.55,153.49,1.80192597870985,0.541064257028113,0.215377460858782,0.344080380921637,0.0286144578313253,0.434307158421435,247.82,0.215377460858782,0.768314989924043,1.42600574712644,-0.00130212370175167,0.167074872112851
"textilesreadymadeapparels","MI53",12,"no",47.01,0.21570156923924,291.51,121.91,1.95766690391985,0.227941176470588,0.241261020205139,0.369780673579884,0.0467365028203062,0.421079196109021,217.94,0.241261020205139,0.747624438269699,1.29510395707579,-0.0657267332166993,0.0776302699735858
"textilesreadymadeapparels","MI53",11,"no",52.69,0.237792219514397,331.85,147.5,1.6370765094501,0.417723952326028,0.242006930842248,0.40030688690315,0.0156670511341792,0.49377200108313,221.58,0.242006930842248,0.667711315353322,0.846833578792342,0.00250113002862739,0.130962784390538
"computerssoftware","MI55",15,"no",5.73,0.102394567548249,17.18,8.45,4.3177308002287,0.212338593974175,0.10302677532014,1,0.024390243902439,0.0452108649035025,55.96,0.10302677532014,3.25727590221187,1.63934426229508,-0.0628637951105937,0.0861466821885914
"computerssoftware","MI55",14,"no",9.93,0.137553677794708,21.25,13.47,4.15210991117516,0.980882352941177,0.0465882352941176,1,0.0279411764705882,0.0587338966615875,72.19,0.0465882352941176,3.39717647058824,1.73584905660377,0.0409411764705882,0.313882352941177
"computerssoftware","MI55",13,"no",5.22,0.101615729024723,16.57,9.08,4.06892837754128,0.373676248108926,0.0531080265540133,1,0.0363086232980333,0.0519758613977029,51.37,0.0531080265540133,3.10018105009052,1.5,-0.0386240193120097,0.149064574532287
"computerssoftware","MI55",12,"no",5.56,0.238013698630137,18.14,10.96,2.1315583498982,0.720565149136578,0.0446527012127894,1,0.032967032967033,0.25,23.36,0.0446527012127894,1.2877618522602,1.95555555555556,0.0474090407938258,0.25303197353914
"computerssoftware","MI55",11,"no",4.13,0.17396798652064,11.08,4.26,4.18998380535923,-0.325949367088608,0.046028880866426,1,0.129746835443038,0.0914069081718618,23.74,0.046028880866426,2.14259927797834,8,0.276173285198556,-0.185920577617329
"infrastructuregeneral","MI56",15,"yes",0.11,0.0298913043478261,29.53,2.68,7.6573411001208,-0.898292220113852,0.0172705722993566,1,0.0182163187855787,4.85869565217391,3.68,0.0172705722993566,0.124619031493397,3.73333333333333,0.0430071114121233,-0.801557737893668
"infrastructuregeneral","MI56",14,"yes",0.13,0.0530612244897959,29.29,6.2,2.62850389321468,-0.613947696139477,0.0266302492318197,1,0.024906600249066,8.4530612244898,2.45,0.0266302492318197,0.0836462956640492,3.17142857142857,0.304882212359167,-0.336633663366337
